Entity,Type,rótulo,
owl:topObjectProperty,ObjectProperty,,
entity,Class,"'entity'	'entidade'",
continuant,Class,"'continuant'	'continuante'",
occurrent,Class,"'occurrent'	'ocorrente'",
'independent continuant',Class,"'continuante independente'	'independent continuant'",
'spatial region',Class,"'região espacial'	'spatial region'",
'temporal region',Class,"'temporal region'	'região temporal'",
'two-dimensional spatial region',Class,"'two-dimensional spatial region'	'região espacial bidimensional'",
'spatiotemporal region',Class,"'região espaço-temporal'	'spatiotemporal region'",
process,Class,"'process'	'processo'",
disposition,Class,"'disposição'	'disposition'",
'realizable entity',Class,"'entidade realizável'	'realizable entity'",
'zero-dimensional spatial region',Class,"'região espacial de dimensão zero'	'zero-dimensional spatial region'",
quality,Class,"'qualidade'	'quality'",
'specifically dependent continuant',Class,"'continuante especificamente dependente'	'specifically dependent continuant'",
role,Class,"'role'	'papel'",
'fiat object part',Class,"'fiat object part'	'parte fiat de objeto'",
'one-dimensional spatial region',Class,"'one-dimensional spatial region'	'região espacial unidimensional'",
'object aggregate',Class,"'object aggregate'	'objeto agregado'",
'three-dimensional spatial region',Class,"'three-dimensional spatial region'	'região espacial tridimensional'",
site,Class,"'lugar'	'site'",
object,Class,"'object'	'objeto'",
'generically dependent continuant',Class,"'generically dependent continuant'	'continuante genericamente dependente'",
function,Class,"'function'	'função'",
'process boundary',Class,"'limite de processo'	'process boundary'",
'one-dimensional temporal region',Class,"'região temporal unidimensional'	'one-dimensional temporal region'",
'material entity',Class,"'material entity'	'entidade material'",
'continuant fiat boundary',Class,"'limite fiat de continuante'	'continuant fiat boundary'",
'immaterial entity',Class,"'entidade imaterial'	'immaterial entity'",
'one-dimensional continuant fiat boundary',Class,"'one-dimensional continuant fiat boundary'	'limite fiat de continuante unidimensional'",
'process profile',Class,"'process profile'	'perfil de processo'",
'relational quality',Class,"'qualidade relacional'	'relational quality'",
'two-dimensional continuant fiat boundary',Class,"'limite fiat de continuante bidimensional'	'two-dimensional continuant fiat boundary'",
'zero-dimensional continuant fiat boundary',Class,"'zero-dimensional continuant fiat boundary'	'limite fiat de continuante de dimensão zero'",
'zero-dimensional temporal region',Class,"'região temporal de dimensão zero'	'zero-dimensional temporal region'",
history,Class,"'history'	'história'",
'data item',Class,"'item de dados'	'data item'",
'information content entity',Class,"'entidade de conteúdo de informação'	'information content entity'",
'directive information entity',Class,"'entidade de diretrizes de informação'	'directive information entity'",
'data set',Class,"'data set'	'conjunto de dados'",
'plan specification',Class,"'plan specification'	'especificação do plano'",
'textual entity',Class,"'entidade textual'	'textual entity'",
'document title',Class,"'document title'	'título do documento'",
table,Class,"'tabela'	'table'",
figure,Class,"'figura'	'figure'",
document,Class,"'documento'	'document'",
publication,Class,"'publicação'	'publication'",
'document part',Class,"'document part'	'parte do documento'",
'email address',Class,"'email address'",
'author role',Class,"'papel de autor'	'author role'",
identifier,Class,"'identificador'	'identifier'",
'personal name',Class,"'nome pessoal'	'personal name'",
Person,Class,"'Pessoa'	'Person'	'Homo sapiens'",
'planned process',Class,"'planned process'	'processo planejado'",
population,Class,"'população'	'population'",
organization,Class,"'organization'	'organização'",
planning,Class,"'planning'	'planejamento'",
selection,Class,"'selection'	'seleção'",
organism,Class,"'organism'	'organismo'",
'data transformation',Class,"'data transformation'	'transformação de dados'",
acquisition,Class,"'aquisição'	'acquisition'",
'material acquisition',Class,"'material acquisition'	'aquisição de material'",
'information acquisition',Class,"'information acquisition'	'aquisição de informação'",
'academic activity',Class,"'atividade acadêmica'	'academic activity'",
professor,Class,"'docente'	'professor'",
student,Class,"'discente'	'student'",
'undergraduate student',Class,"'undergraduate student'	'discente de graduação'",
'graduate student',Class,"'discente de pós-graduação'	'graduate student'",
'federal employee',Class,"'servidor público'	'federal employee'",
speaker,Class,"'speaker'	'palestrante'",
instructor,Class,"'instructor'	'instrutor'",
participant,Class,"'participant'	'participante'",
coordinator,Class,"'coordinator'	'coordenador'",
laboratory,Class,"'laboratório'	'laboratory'",
auditorium,Class,"'auditório'	'auditorium'",
classroom,Class,"'classroom'	'sala de aula'",
'academic event',Class,"'evento acadêmico'	'academic event'",
congress,Class,"'congresso'	'congress'",
symposium,Class,"'simpósio'	'symposium'",
workshop,Class,"'workshop'",
lecture,Class,"'lecture'	'palestra'",
'oral communication',Class,"'comunicação oral'	'oral communication'",
course,Class,"'curso'	'course'",
'curso de longa duração',Class,"'curso de longa duração'",
minicurso,Class,"'minicurso'",
oficina,Class,"'oficina'",
title,Class,"'title'	'title of academic activity'	'título da atividade acadêmica'",
'período de realização',Class,"'período de realização'",
'academic space',Class,"'academic space'	'espaço acadêmico'",
'laboratório de informática',Class,"'laboratório de informática'",
'carga horária',Class,"'carga horária'",
'description of academic activity',Class,"'description of academic activity'	'descrição da atividade acadêmica'",
'date of academic activity',Class,"'data da atividade acadêmica'	'date of academic activity'",
'data inicial da atividade acadêmica',Class,"'data inicial da atividade acadêmica'",
'data final da atividade acadêmica',Class,"'data final da atividade acadêmica'",
data,Class,"'data'",
hora,Class,"'hora'",
'schedule of academic activity',Class,"'schedule of academic activity'	'horário da atividade acadêmica'",
'horário de inicio da atividade acadêmica',Class,"'horário de inicio da atividade acadêmica'",
'horário de fim da atividade acadêmica',Class,"'horário de fim da atividade acadêmica'",
'papel acadêmico',Class,"'papel acadêmico'",
'field of knowledge',Class,"'field of knowledge'	'área de conhecimento'",
'público alvo',Class,"'público alvo'",
ementa,Class,"'ementa'",
'programa do curso',Class,"'programa do curso'",
'unidade acadêmica',Class,"'unidade acadêmica'",
'laboratório de química',Class,"'laboratório de química'",
'laboratório de áudio visual',Class,"'laboratório de áudio visual'",
'data e hora',Class,"'data e hora'",
'part of',ObjectProperty,"'part of'	'parte de'",
'has part',ObjectProperty,"'has part'	'tem parte'",
'realized in',ObjectProperty,"'realized in'	'realizado em'",
realizes,ObjectProperty,"'realiza'	'realizes'",
'preceded by',ObjectProperty,"'precedido por'	'preceded by'",
precedes,ObjectProperty,"'precede'	'precedes'",
'occurs in',ObjectProperty,"'occurs in'	'ocorre em'",
'contains process',ObjectProperty,"'contém processo'	'contains process'",
'is about',ObjectProperty,"'is about'	'é sobre'",
mentions,ObjectProperty,"'mentions'	'menções'",
'mentioned by',ObjectProperty,"'mencionado por'	'mentioned by'",
denotes,ObjectProperty,"'denotes'	'denota'",
'is quality measurement of',ObjectProperty,"'is quality measurement of'	'é uma medida de qualidade de'",
'denoted by',ObjectProperty,"'denoted by'	'denotado por'",
'is duration of',ObjectProperty,"'é a duração de'	'is duration of'",
'is quality specification of',ObjectProperty,"'é especificação de qualidade de'	'is quality specification of'",
'characteristic of',ObjectProperty,"'characteristic of'	'característica de'",
'has characteristic',ObjectProperty,"'has characteristic'	'tem característica'",
'participates in',ObjectProperty,"'participa de'	'participates in'",
'has participant',ObjectProperty,"'tem participante'	'has participant'",
'is concretized as',ObjectProperty,"'is concretized as'	'é concretizado como'",
concretizes,ObjectProperty,"'concretiza'	'concretizes'",
'function of',ObjectProperty,"'função de'	'function of'",
'quality of',ObjectProperty,"'quality of'	'qualidade de'",
'role of',ObjectProperty,"'role of'	'papel de'",
'has function',ObjectProperty,"'has function'	'tem função'",
'has quality',ObjectProperty,"'has quality'	'tem qualidade'",
'has role',ObjectProperty,"'tem papel'	'has role'",
'has disposition',ObjectProperty,"'has disposition'	'tem disposição'",
'disposition of',ObjectProperty,"'disposition of'	'disposição de'",
'derives from',ObjectProperty,"'deriva de'	'derives from'",
'derives into',ObjectProperty,"'derives into'	'deriva em'",
'location of',ObjectProperty,"'localização de'	'location of'",
'located in',ObjectProperty,"'located in'	'localizado em'",
'2D boundary of',ObjectProperty,"'2D boundary of'	'limite 2D de'",
'has 2D boundary',ObjectProperty,"'has 2D boundary'	'tem limite 2D'",
'before or simultaneous with',ObjectProperty,"'before or simultaneous with'	'antes ou simultaneamente com'",
'simultaneous with',ObjectProperty,"'simultaneo com'	'simultaneous with'",
before,ObjectProperty,"'antes'	'before'",
encompasses,ObjectProperty,"'abrange'	'encompasses'",
'ends after',ObjectProperty,"'finaliza após'	'ends after'",
'during which starts',ObjectProperty,"'during which starts'	'durante o qual começa'",
'starts before',ObjectProperty,"'starts before'	'inicia antes'",
'immediately precedes',ObjectProperty,"'immediately precedes'	'precede imediatamente'",
'starts during',ObjectProperty,"'inicia durante'	'starts during'",
'happens during',ObjectProperty,"'happens during'	'acontece durante'",
'ends during',ObjectProperty,"'finaliza durante'	'ends during'",
'capable of',ObjectProperty,"'capaz de'	'capable of'",
'capable of part of',ObjectProperty,"'capaz de fazer parte de'	'capable of part of'",
'temporally related to',ObjectProperty,"'temporally related to'	'temporalmente relacionado com'",
'starts with',ObjectProperty,"'inicia com'	'starts with'",
ends,ObjectProperty,"'finaliza'	'ends'",
'ends with',ObjectProperty,"'ends with'	'finaliza com'",
'has start location',ObjectProperty,"'tem local de início'	'has start location'",
'has end location',ObjectProperty,"'has end location'	'tem localização final'",
'has input',ObjectProperty,"'has input'	'tem entrada'",
'has output',ObjectProperty,"'has output'	'tem saída'",
enables,ObjectProperty,"'habilita'	'enables'",
'functionally related to',ObjectProperty,"'functionally related to'	'funcionalmente relacionado com'",
'enabled by',ObjectProperty,"'habilitado por'	'enabled by'",
'member of',ObjectProperty,"'member of'	'membro de'",
'has member',ObjectProperty,"'has member'	'tem membro'",
'input of',ObjectProperty,"'entrada de'	'input of'",
'output of',ObjectProperty,"'output of'	'saída de'",
'differs in',ObjectProperty,"'difere em'	'differs in'",
'differs in attribute of',ObjectProperty,"'difere no atributo de'	'differs in attribute of'",
'differs in attribute',ObjectProperty,"'difere no atributo'	'differs in attribute'",
'tem parte que ocorre em',ObjectProperty,"'has part that occurs in'	'tem parte que ocorre em'",
'DEPRECATED inheres in',ObjectProperty,"'DEPRECATED inheres in'	'é inerente'",
'DEPRECATED bearer of',ObjectProperty,"'DEPRECATED bearer of'	'portador de'",
'device utilizes material',ObjectProperty,"'dispositivo utiliza material'	'device utilizes material'",
delivers,ObjectProperty,"'delivers'	'ministra'",
'is delivered by',ObjectProperty,"'é ministrada por'	'is delivered by'",
assiste,ObjectProperty,"'assiste'",
'ocorre em data',ObjectProperty,"'ocorre em data'",
dia,DataProperty,"'dia'",
me
s,DataProperty,"'me
s'",
ano,DataProperty,"'ano'",
